CSP,Environment,NarrowEnvironment,AlertType,Priority,Key,AppCode,ConfigRule,Summary,Account,tCreated,tResolved,TimeToResolve
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-1,MONITOR,AWS-998,Heartbeat Check - Success,790115912419,2024-06-01 00:00:00,2024-06-01 00:17:00,0 days 00:17:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-2,MONITOR,AWS-998,Heartbeat Check - Success,155036734279,2024-06-01 02:00:00,2024-06-01 02:23:00,0 days 00:23:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-3,MONITOR,AWS-999,Heartbeat Check - Success,310919805386,2024-06-01 04:00:00,2024-06-01 04:26:00,0 days 00:26:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-4,MONITOR,AWS-999,Heartbeat Check - Success,549578284118,2024-06-01 06:00:00,2024-06-01 06:29:00,0 days 00:29:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-5,MONITOR,AWS-999,Heartbeat Check - Success,488993056798,2024-06-01 08:00:00,2024-06-01 08:05:00,0 days 00:05:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-6,MONITOR,AWS-998,Heartbeat Check - Success,507092619512,2024-06-01 10:00:00,2024-06-01 10:18:00,0 days 00:18:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-7,MONITOR,AWS-998,Heartbeat Check - Success,823304388952,2024-06-01 12:00:00,2024-06-01 12:07:00,0 days 00:07:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-8,MONITOR,AWS-998,Heartbeat Check - Success,984515355219,2024-06-01 14:00:00,2024-06-01 14:27:00,0 days 00:27:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-9,MONITOR,AWS-999,Heartbeat Check - Success,981785816517,2024-06-01 16:00:00,2024-06-01 16:20:00,0 days 00:20:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-10,MONITOR,AWS-998,Heartbeat Check - Success,769017423251,2024-06-01 18:00:00,2024-06-01 18:27:00,0 days 00:27:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-11,MONITOR,AWS-999,Heartbeat Check - Success,655648129569,2024-06-01 20:00:00,2024-06-01 20:28:00,0 days 00:28:00
AWS,PROD,Prod,Heartbeat,Critical,HB-AWS-12,MONITOR,AWS-999,Heartbeat Check - Success,334534480009,2024-06-01 22:00:00,2024-06-01 22:19:00,0 days 00:19:00
