CSP,Environment,NarrowEnvironment,AlertType,Priority,Key,AppCode,ConfigRule,Summary,Account,tCreated,tResolved,TimeToResolve
AWS,Uat,Uat,GuardDuty,Low,CSD-10001,YZSN,AWS-575,Task change bill according table test western city benefit.,150613134164,2024-10-11T16:04:37.175302+00:00,2024-10-14T05:04:37.175302+00:00,"2 days, 13:00:00"
AWS,Dev,Dev,GuardDuty,unknown,CSD-10002,UCDR,AWS-393,Road away three everything bar threat pretty.,196700147149,2025-04-14T07:04:54.980033+00:00,2025-04-21T08:04:54.980033+00:00,"7 days, 1:00:00"
AWS,PROD,Prod,Alert,Medium,CSD-10004,MKMK,AWS-729,Begin unit some bad.,838621467965,2024-12-18T16:26:49.961807+00:00,2025-01-12T17:26:49.961807+00:00,"25 days, 1:00:00"
AWS,PROD,Prod,Alert,unknown,CSD-10007,HGDO,AWS-575,Right then hard federal high surface local discussion kid whole.,584076875742,2025-07-15T15:34:48.611379+00:00,2025-07-25T19:34:48.611379+00:00,"10 days, 4:00:00"
AWS,Dev,Dev,System,Medium,CSD-10010,ATOV,AWS-438,Ability industry history place seek.,705715670839,2025-05-11T20:24:54.625276+00:00,2025-06-01T08:24:54.625276+00:00,"20 days, 12:00:00"
AWS,PROD,Prod,System,unknown,CSD-10012,HALU,AWS-588,Child color movement discuss upon gas professor option wonder other.,150613134164,2024-10-31T02:55:55.720904+00:00,2024-11-21T16:55:55.720904+00:00,"21 days, 14:00:00"
AWS,Uat,Uat,GuardDuty,Medium,CSD-10013,YZSN,AWS-173,Draw white of notice blue economic.,524865655974,2024-10-23T09:38:27.413779+00:00,2024-10-29T05:38:27.413779+00:00,"5 days, 20:00:00"
AWS,PROD,Prod,Alert,High,CSD-10014,HGDO,AWS-809,Song price sit none article wife form north nearly.,584076875742,2025-02-28T00:22:14.809915+00:00,2025-03-23T00:22:14.809915+00:00,"23 days, 0:00:00"
AWS,Unknown,Unknown,System,Low,CSD-10015,CVPR,AWS-450,Above site grow reduce summer.,923600132327,2025-02-23T01:29:25.479452+00:00,2025-03-02T05:29:25.479452+00:00,"7 days, 4:00:00"
AWS,Non Prod,Unknown,System,unknown,CSD-10016,GICK,AWS-729,Imagine set step everyone hit fight summer something time.,511043321633,2024-10-10T09:09:47.773403+00:00,2024-10-14T07:09:47.773403+00:00,"3 days, 22:00:00"
AWS,Unknown,Unknown,Alert,unknown,CSD-10018,FJEB,AWS-393,Magazine movement responsibility your each man whatever common.,519458122123,2024-10-08T07:54:27.342071+00:00,2024-10-15T00:54:27.342071+00:00,"6 days, 17:00:00"
AWS,Non Prod,Uat,Alert,unknown,CSD-10022,BAZB,AWS-400,Before green manage machine friend significant argue.,584076875742,2025-04-18T18:36:58.885738+00:00,2025-05-17T14:36:58.885738+00:00,"28 days, 20:00:00"
AWS,Unknown,Unknown,GuardDuty,unknown,CSD-10025,AWAR,AWS-450,Staff agent risk significant water outside something nearly police.,150613134164,2024-10-10T01:15:34.194173+00:00,2024-10-16T06:15:34.194173+00:00,"6 days, 5:00:00"
AWS,Unknown,Unknown,Alert,unknown,CSD-10027,VMIW,AWS-365,Those end effect once drive.,364627684423,2025-05-03T05:07:38.300897+00:00,2025-05-28T05:07:38.300897+00:00,"25 days, 0:00:00"
AWS,Dev,Dev,GuardDuty,unknown,CSD-10028,MGZI,AWS-400,Sense boy stand fly car just.,441547927101,2025-05-01T17:57:15.717051+00:00,2025-05-16T18:57:15.717051+00:00,"15 days, 1:00:00"
AWS,Non Prod,Unknown,System,unknown,CSD-10029,BAZB,AWS-751,Suffer environment crime type particularly stand such.,441547927101,2024-11-30T08:53:13.521987+00:00,2024-12-03T02:53:13.521987+00:00,"2 days, 18:00:00"
AWS,Dev,Dev,Alert,Medium,CSD-10030,HALU,AWS-181,Himself current relationship what scientist discussion arm around.,596216598819,2025-05-08T13:19:30.983860+00:00,2025-05-17T17:19:30.983860+00:00,"9 days, 4:00:00"
AWS,Uat,Uat,GuardDuty,High,CSD-10032,VMIW,AWS-369,Wide movement reduce organization scene young.,584076875742,2025-02-20T05:00:20.265614+00:00,2025-03-12T01:00:20.265614+00:00,"19 days, 20:00:00"
AWS,Non Prod,Uat,Alert,High,CSD-10033,IHOF,AWS-448,History explain learn shoulder require short indicate.,656155420224,2025-01-06T20:06:59.309451+00:00,2025-02-04T03:06:59.309451+00:00,"28 days, 7:00:00"
AWS,Unknown,Unknown,System,High,CSD-10035,XPQW,AWS-365,Year inside personal small full nor.,740393183466,2025-02-26T14:27:09.024053+00:00,2025-03-26T16:27:09.024053+00:00,"28 days, 2:00:00"
AWS,PROD,Prod,Alert,Medium,CSD-10036,IHOF,AWS-450,Score the card speech true quality case million see.,150613134164,2024-12-15T17:56:50.444466+00:00,2025-01-13T09:56:50.444466+00:00,"28 days, 16:00:00"
AWS,PROD,Prod,GuardDuty,unknown,CSD-10037,MGZI,AWS-532,Structure whether bring care always.,519190630105,2024-08-12T07:18:46.514635+00:00,2024-09-03T00:18:46.514635+00:00,"21 days, 17:00:00"
AWS,PROD,Prod,System,Medium,CSD-10038,HZCH,AWS-450,Knowledge already teacher maintain big skin.,441547927101,2025-05-25T06:37:37.236181+00:00,2025-06-03T02:37:37.236181+00:00,"8 days, 20:00:00"
AWS,Dev,Dev,Alert,High,CSD-10039,DEMS,AWS-720,White garden rich some generation go they catch exactly.,705715670839,2025-05-19T06:46:33.360886+00:00,2025-06-02T20:46:33.360886+00:00,"14 days, 14:00:00"
AWS,Unknown,Unknown,GuardDuty,Medium,CSD-10040,ATOV,AWS-588,Yet economic him organization evidence interest social piece score discuss.,738079857055,2024-08-03T23:40:02.813181+00:00,2024-08-27T23:40:02.813181+00:00,"24 days, 0:00:00"
AWS,Uat,Uat,System,Low,CSD-10042,QHRL,AWS-173,Huge space recognize season television return recently agent include create.,740393183466,2025-01-04T23:56:11.511286+00:00,2025-02-02T16:56:11.511286+00:00,"28 days, 17:00:00"
AWS,PROD,Prod,System,Low,CSD-10044,XPQW,AWS-393,Especially he tax place miss later.,838621467965,2024-09-25T06:11:01.419489+00:00,2024-09-29T20:11:01.419489+00:00,"4 days, 14:00:00"
AWS,Dev,Dev,System,Low,CSD-10045,XPQW,AWS-828,Democrat although condition before whole spring.,706081894896,2025-05-11T22:15:37.571512+00:00,2025-05-24T05:15:37.571512+00:00,"12 days, 7:00:00"
AWS,Non Prod,Unknown,GuardDuty,Medium,CSD-10046,CVPR,AWS-400,Theory wall whatever mother husband south.,150613134164,2024-11-06T00:01:06.359650+00:00,2024-11-29T19:01:06.359650+00:00,"23 days, 19:00:00"
AWS,PROD,Prod,Alert,Low,CSD-10047,FMKM,AWS-448,Power blue leader various all.,441547927101,2025-01-22T02:07:32.431053+00:00,2025-01-22T15:07:32.431053+00:00,13:00:00
AWS,Non Prod,Dev,System,unknown,CSD-10050,PZCF,AWS-369,Practice interest later could sure finish must fund benefit.,705715670839,2025-05-20T07:31:52.549845+00:00,2025-06-16T08:31:52.549845+00:00,"27 days, 1:00:00"
AWS,Unknown,Unknown,System,Medium,CSD-10051,DEMS,AWS-729,Baby personal chance sea.,123632124732,2024-07-22T22:27:41.397229+00:00,2024-08-20T19:27:41.397229+00:00,"28 days, 21:00:00"
AWS,Uat,Uat,System,Low,CSD-10053,IYMT,AWS-828,Ability organization phone language consider condition.,656155420224,2025-01-30T12:16:33.474720+00:00,2025-02-22T11:16:33.474720+00:00,"22 days, 23:00:00"
AWS,Dev,Dev,Alert,High,CSD-10054,KLEH,AWS-173,Life push speak anyone despite say.,740393183466,2024-08-18T22:12:20.010396+00:00,2024-08-23T04:12:20.010396+00:00,"4 days, 6:00:00"
