CSP,Environment,NarrowEnvironment,AlertType,Priority,Key,AppCode,ConfigRule,Summary,Account,tCreated,tResolved,TimeToResolve
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-1,MONITOR,GCP-111,Heartbeat Check - Success,711976544083,2024-06-01 00:00:00,2024-06-01 00:27:00,0 days 00:27:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-2,MONITOR,GCP-112,Heartbeat Check - Success,884036341501,2024-06-01 02:00:00,2024-06-01 02:29:00,0 days 00:29:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-3,MONITOR,GCP-112,Heartbeat Check - Success,450040279697,2024-06-01 04:00:00,2024-06-01 04:18:00,0 days 00:18:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-4,MONITOR,GCP-112,Heartbeat Check - Success,735896936290,2024-06-01 06:00:00,2024-06-01 06:07:00,0 days 00:07:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-5,MONITOR,GCP-111,Heartbeat Check - Success,430795631457,2024-06-01 08:00:00,2024-06-01 08:07:00,0 days 00:07:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-6,MONITOR,GCP-111,Heartbeat Check - Success,316447570176,2024-06-01 10:00:00,2024-06-01 10:23:00,0 days 00:23:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-7,MONITOR,GCP-112,Heartbeat Check - Success,351731928459,2024-06-01 12:00:00,2024-06-01 12:12:00,0 days 00:12:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-8,MONITOR,GCP-111,Heartbeat Check - Success,299175874482,2024-06-01 14:00:00,2024-06-01 14:13:00,0 days 00:13:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-9,MONITOR,GCP-112,Heartbeat Check - Success,644497675552,2024-06-01 16:00:00,2024-06-01 16:18:00,0 days 00:18:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-10,MONITOR,GCP-111,Heartbeat Check - Success,231291668133,2024-06-01 18:00:00,2024-06-01 18:15:00,0 days 00:15:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-11,MONITOR,GCP-112,Heartbeat Check - Success,995028338939,2024-06-01 20:00:00,2024-06-01 20:15:00,0 days 00:15:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-12,MONITOR,GCP-112,Heartbeat Check - Success,857059963409,2024-06-01 22:00:00,2024-06-01 22:18:00,0 days 00:18:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-13,MONITOR,GCP-111,Heartbeat Check - Success,993593291791,2024-06-02 00:00:00,2024-06-02 00:12:00,0 days 00:12:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-14,MONITOR,GCP-112,Heartbeat Check - Failed,773681962012,2024-06-02 02:00:00,,
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-15,MONITOR,GCP-112,Heartbeat Check - Success,545015575066,2024-06-02 04:00:00,2024-06-02 04:17:00,0 days 00:17:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-16,MONITOR,GCP-111,Heartbeat Check - Success,290013699154,2024-06-02 06:00:00,2024-06-02 06:26:00,0 days 00:26:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-17,MONITOR,GCP-111,Heartbeat Check - Success,333581837990,2024-06-02 08:00:00,2024-06-02 08:28:00,0 days 00:28:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-18,MONITOR,GCP-111,Heartbeat Check - Success,223374342305,2024-06-02 10:00:00,2024-06-02 10:16:00,0 days 00:16:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-19,MONITOR,GCP-112,Heartbeat Check - Success,750091996454,2024-06-02 12:00:00,2024-06-02 12:10:00,0 days 00:10:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-20,MONITOR,GCP-112,Heartbeat Check - Success,297712800554,2024-06-02 14:00:00,2024-06-02 14:23:00,0 days 00:23:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-21,MONITOR,GCP-111,Heartbeat Check - Success,554584461752,2024-06-02 16:00:00,2024-06-02 16:18:00,0 days 00:18:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-22,MONITOR,GCP-111,Heartbeat Check - Failed,455919794726,2024-06-02 18:00:00,,
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-23,MONITOR,GCP-112,Heartbeat Check - Success,473998554635,2024-06-02 20:00:00,2024-06-02 20:18:00,0 days 00:18:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-24,MONITOR,GCP-111,Heartbeat Check - Success,906818639077,2024-06-02 22:00:00,2024-06-02 22:16:00,0 days 00:16:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-25,MONITOR,GCP-111,Heartbeat Check - Success,797820406714,2024-06-03 00:00:00,2024-06-03 00:19:00,0 days 00:19:00
GCP,PROD,Prod,Heartbeat,Critical,HB-GCP-26,MONITOR,GCP-112,Heartbeat Check - Success,634730533608,2024-06-03 02:00:00,2024-06-03 02:29:00,0 days 00:29:00
